지역,링크아이디,도로명,평균속도
서울특별시 종로구,1000019605,자하문로,46.6
서울특별시 종로구,1000019701,창의문로,29.9
서울특별시 종로구,1000019702,창의문로,22.5
서울특별시 종로구,1000019801,창의문로,34.5
서울특별시 종로구,1000019802,창의문로,21.4
서울특별시 종로구,1000019901,혜화로,16.3
서울특별시 종로구,1000020001,혜화로,17
서울특별시 종로구,1000020101,삼청로,28.4
서울특별시 종로구,1000020102,대사관로.삼청로.사이길,41.5
서울특별시 종로구,1000020201,삼청로,28
서울특별시 종로구,1000020202,대사관로.삼청로.사이길,43.4
서울특별시 종로구,1000020300,창의문로,15.5
서울특별시 종로구,1000020400,창의문로,16.7
서울특별시 종로구,1000020500,백석동길,10.2
서울특별시 종로구,1000020600,백석동길,10.3
서울특별시 종로구,1000020701,자하문로,29.7
서울특별시 종로구,1000020702,자하문로,30.2
서울특별시 종로구,1000020801,자하문로,28.6
서울특별시 종로구,1000020802,자하문로,9.8
서울특별시 종로구,1000020901,세검정로,22.6
서울특별시 종로구,1000020902,세검정로,20.5
서울특별시 종로구,1000021001,세검정로,12.8
서울특별시 종로구,1000021002,세검정로,27
서울특별시 종로구,1000021101,북악산로,29.2
서울특별시 종로구,1000021102,북악산로,26.7
서울특별시 종로구,1000021103,북악산로,29.8
서울특별시 종로구,1000021201,북악산로,24.2
서울특별시 종로구,1000021202,북악산로,27.9
서울특별시 종로구,1000021203,북악산로,29.3
서울특별시 종로구,1000021301,진흥로,10.6
서울특별시 종로구,1000021302,진흥로,27.6
서울특별시 종로구,1000021304,진흥로,30.5
서울특별시 종로구,1000021305,진흥로,16.8
서울특별시 종로구,1000021401,진흥로,19.8
서울특별시 종로구,1000021402,진흥로,28.8
서울특별시 종로구,1000021403,진흥로,20.7
서울특별시 종로구,1000021504,진흥로,56.1
서울특별시 종로구,1000021604,진흥로,60.3
서울특별시 종로구,1000021606,진흥로,29.8
서울특별시 종로구,1000021701,평창문화로,8.9
서울특별시 종로구,1000021702,평창문화로,32.5
서울특별시 종로구,1000021704,평창문화로,26.1
서울특별시 종로구,1000021705,평창문화로,25.4
서울특별시 종로구,1000021706,평창문화로,22.4
서울특별시 종로구,1000021707,평창문화로,43.6
서울특별시 종로구,1000021708,평창문화로,22.8
서울특별시 종로구,1000021709,평창문화로,21.7
서울특별시 종로구,1000021801,평창문화로,22.5
서울특별시 종로구,1000021803,평창문화로,30.3
서울특별시 종로구,1000021804,평창문화로,22.6
서울특별시 종로구,1000021805,평창문화로,26
서울특별시 종로구,1000021806,평창문화로,61.6
서울특별시 종로구,1000021807,평창문화로,26.3
서울특별시 종로구,1000021808,평창문화로,26.4
서울특별시 종로구,1000021901,비봉길,6.5
서울특별시 종로구,1000021902,비봉길,23.2
서울특별시 종로구,1000021903,비봉길,17.8
서울특별시 종로구,1000021904,비봉길,11.3
서울특별시 종로구,1000022001,비봉길,9.5
서울특별시 종로구,1000022002,비봉길,20.3
서울특별시 종로구,1000022003,비봉길,23.3
서울특별시 종로구,1000022004,비봉길,11.9
서울특별시 종로구,1000022100,새문안로,10.1
서울특별시 종로구,1000022201,경교장길,26.8
서울특별시 종로구,1000022202,경교장길,15.3
서울특별시 종로구,1000022301,경교장길,15.3
서울특별시 종로구,1000022302,경교장길,28.9
서울특별시 종로구,1000022401,새문안로,23.6
서울특별시 종로구,1000022402,새문안로,22.3
서울특별시 종로구,1000022501,새문안로,19.7
서울특별시 종로구,1000022502,새문안로,22.1
서울특별시 종로구,1000022600,수표로,11.6
서울특별시 종로구,1000022700,수표로,9.6
서울특별시 종로구,1000022801,통일로8길,35.4
서울특별시 종로구,1000022802,통일로8길,13.5
서울특별시 종로구,1000022901,통일로8길,12
서울특별시 종로구,1000022902,통일로8길,32.7
서울특별시 종로구,1000023000,종로12길,8.9
서울특별시 종로구,1000023100,종로12길,9.3
서울특별시 종로구,1000023400,종로,10.9
서울특별시 종로구,1000023500,종로,13.2
서울특별시 종로구,1000023600,종로,7.1
서울특별시 종로구,1000023700,종로,14.2
서울특별시 종로구,1000023800,세종대로,14.8
서울특별시 종로구,1000023900,종로,10.3
서울특별시 종로구,1000024000,새문안로,25.6
서울특별시 종로구,1000024100,종로40길,18.4
서울특별시 종로구,1000024200,종로40길,18.9
서울특별시 종로구,1000024300,세종대로,15.2
서울특별시 종로구,1000024400,종로,9.7
서울특별시 종로구,1000024500,종로,11.1
서울특별시 종로구,1000024600,종로,13.2
서울특별시 종로구,1000024700,동순라길,29.7
서울특별시 종로구,1000024800,동순라길,26.5
서울특별시 종로구,1000024900,종로.동순라길.사이길,29.5
서울특별시 종로구,1000025000,종로.동순라길.사이길,30
서울특별시 종로구,1000025100,새문안로3길,10.6
서울특별시 종로구,1000025200,새문안로3길,13.4
서울특별시 종로구,1000025300,종로,14.7
서울특별시 종로구,1000025400,종로,22
서울특별시 종로구,1000025500,경희궁1길,15.6
서울특별시 종로구,1000025600,경희궁1길,15.4
서울특별시 종로구,1000025700,통일로,17.4
서울특별시 종로구,1000025800,통일로,19.9
서울특별시 종로구,1000025901,종로5길,13.3
서울특별시 종로구,1000025902,종로5길,14.3
서울특별시 종로구,1000026001,종로5길,14.2
서울특별시 종로구,1000026002,종로5길,14.4
서울특별시 종로구,1000026100,종로41길,15.7
서울특별시 종로구,1000026200,종로41길,15
서울특별시 종로구,1000026300,수표로,8
서울특별시 종로구,1000026400,수표로,7.5
서울특별시 종로구,1000026500,세종대로23길,11.7
서울특별시 종로구,1000026600,세종대로23길,11.2
서울특별시 종로구,1000026700,세종대로23길,8.2
서울특별시 종로구,1000026800,세종대로23길,11.9
서울특별시 종로구,1000026900,인사동길,10.1
서울특별시 종로구,1000027000,인사동길,9
서울특별시 종로구,1000027100,사직로,7.9
서울특별시 종로구,1000027200,청계천로,16.7
서울특별시 종로구,1000027300,율곡로30길,15.1
서울특별시 종로구,1000027400,율곡로30길,18.1
서울특별시 종로구,1000027500,인사동5길,10.8
서울특별시 종로구,1000027600,인사동5길,9.5
서울특별시 종로구,1000027700,종로58길,17.8
서울특별시 종로구,1000027800,종로58길,18.8
서울특별시 종로구,1000028100,새문안로3길,15.1
서울특별시 종로구,1000028200,새문안로3길,15.9
서울특별시 종로구,1000028300,서순라길,14.9
서울특별시 종로구,1000028400,서순라길,15.2
서울특별시 종로구,1000028500,동순라길,9.4
서울특별시 종로구,1000028600,동순라길,6.8
서울특별시 종로구,1000028700,성산로,13.9
서울특별시 종로구,1000028800,인사동길,7.5
서울특별시 종로구,1000028900,인사동길,7.2
서울특별시 종로구,1000029000,삼봉로,18
서울특별시 종로구,1000029100,삼봉로,18.1
서울특별시 종로구,1000029200,종로41길,12.9
서울특별시 종로구,1000029300,종로41길,15
서울특별시 종로구,1000029400,인사동길,12
서울특별시 종로구,1000029500,인사동길,12.3
서울특별시 종로구,1000029700,경희궁3길,10.6
서울특별시 종로구,1000029800,경희궁3길,7.2
서울특별시 종로구,1000029900,김상옥로,10
서울특별시 종로구,1000030000,김상옥로,9.2
